Pair,Subject,Condition(individual-pre/hidden/visible/individual-post),Block,Trial,StimulusType,TargetSize(small/large),TargetPosition(center/margin),ObstaclePresence(absent/present),Error(yes/no),TT,AUC,Asynchrony
1,1,1,1,1,210,2,1,0,0,1.2943,28.613,-1
1,1,1,1,2,120,1,2,0,0,0.74252,16.552,-1
1,1,1,1,3,211,2,1,1,0,0.83377,184.3,-1
1,1,1,1,4,111,1,1,1,0,1.0432,161.04,-1
1,1,1,1,5,121,1,2,1,1,0.61546,0,-1
1,1,1,1,6,220,2,2,0,0,0.64231,89.806,-1
1,1,1,1,7,110,1,1,0,0,0.61208,108.77,-1
1,1,1,1,8,211,2,1,1,0,0.65211,255.73,-1
1,1,1,1,9,221,2,2,1,0,0.66219,320.73,-1
1,1,1,1,10,121,1,2,1,0,0.61192,250.37,-1
1,1,1,1,11,120,1,2,0,0,0.51152,62.051,-1
1,1,1,1,12,221,2,2,1,0,0.4212,237.86,-1
1,1,1,1,13,111,1,1,1,0,0.55197,183.62,-1
1,1,1,1,14,220,2,2,0,0,0.25129,55.552,-1
1,1,1,1,15,110,1,1,0,0,0.37116,55.346,-1
1,1,1,1,16,210,2,1,0,0,0.84289,120.84,-1
1,1,1,2,1,120,1,2,0,0,0.53156,56.835,-1
1,1,1,2,2,210,2,1,0,0,0.65244,61.512,-1
1,1,1,2,3,120,1,2,0,0,0.41134,10.673,-1
1,1,1,2,4,221,2,2,1,0,0.41169,193.31,-1
1,1,1,2,5,220,2,2,0,0,0.4213,44.092,-1
1,1,1,2,6,121,1,2,1,0,0.4813,191.57,-1
1,1,1,2,7,210,2,1,0,0,0.49147,70.287,-1
1,1,1,2,8,221,2,2,1,0,0.55176,187.93,-1
1,1,1,2,9,211,2,1,1,0,0.42132,212.6,-1
1,1,1,2,10,111,1,1,1,0,0.44167,234.61,-1
1,1,1,2,11,121,1,2,1,0,0.44137,154.89,-1
1,1,1,2,12,211,2,1,1,0,0.36123,193.9,-1
1,1,1,2,13,110,1,1,0,0,0.76268,36.04,-1
1,1,1,2,14,220,2,2,0,0,0.36106,90.337,-1
1,1,1,2,15,111,1,1,1,0,0.3113,132.11,-1
1,1,1,2,16,110,1,1,0,0,0.42135,109.97,-1
1,1,1,3,1,110,1,1,0,0,1.0634,64.003,-1
1,1,1,3,2,221,2,2,1,0,0.50149,200.69,-1
1,1,1,3,3,221,2,2,1,0,0.31117,220.93,-1
